1mattemask	FxFactory ??????After Effects 雿?蝷?This product is no longer available嚗惇?撌亙
2d-ring-wipes	Final Cut Pro X 專用轉場素材
2d-ring-wipes	Final Cut Pro X 撠頧蝝?
2d-special-effects-for-animation-composer	已停售，且為 Animation Composer 用的預設/素材包
2d-special-effects-for-animation-composer	撌脣??殷?銝 Animation Composer ?函??身/蝝???
3d-bevel	摰??蝷箏歇?嚗iscontinued嚗?
3d-layer-distributor	璆萄???穿??芸? 3D 蝛粹??冽???嚗??賢鋡急?極?瑕?隞?
3d-paper-jam	?桐?鋆ˇ?扳???璆萄???
3d-presets-for-element-3d	Element 3D ??閮剖?嚗?撌亙?祈澈
3d-bevel	官方頁標示已停售（discontinued）
3d-layer-distributor	極小型腳本，只做 3D 空間隨機分佈，功能可被既有工具取代
3d-paper-jam	單一裝飾性效果，極小眾
3d-presets-for-element-3d	Element 3D 的預設包，非工具本身
3d-splitter	極小型單一功能腳本，與已收錄的切割/彎曲工具重複
3d-splitter	璆萄??銝??單嚗?撌脫???/敶撌亙??
3d-text-creator	???3D Letters Animator ??嚗?????撅文?雿?
3d-widgets	摰??蝷箏歇?嚗iscontinued嚗?
8mm-distress-kit-4k-classic	8mm ?蝝??????極??
8mm-distress-kit-4k-premium	8mm ?蝝??????極??
activatedisabledexpressions	璆萄??銝??單嚗??啣??刻◤???蝞?嚗?
add-anchor-point	摰??誨??嚗銝撖阡??隤芣?
3d-text-creator	功能與 3D Letters Animator 重複，且僅做文字層分佈
3d-video-polygons	摰?Ｗ??? Works in ?? Final Cut Pro嚗???After Effects ?舀
3d-widgets	官方頁標示已停售（discontinued）
8mm-distress-kit-4k-classic	8mm 膠卷素材包，非外掛工具
8mm-distress-kit-4k-premium	8mm 膠卷素材包，非外掛工具
Color-Genius-App	摰?Ｗ?蝝Ｗ??內??Color Genius standalone app嚗fter Effects 憭???Color Genius 撌脣?迤撘???
pv-feather	摰?Ｗ?蝝Ｗ??內 DISCONTINUED嚗??園??撌亙
Twixtor-App	摰?Ｗ?蝝Ｗ??內??standalone Twixtor App嚗??祈??澈?園???After Effects 憭?璇
accentize-deroom	Accentize DeRoom：音訊去殘響外掛，非視覺效果，官方頁未列 After Effects host
accentize-dialogueenhance	Accentize DialogueEnhance：音訊人聲增強外掛，非視覺效果，官方頁未列 After Effects host
accentize-dxrevive	Accentize dxRevive：音訊修復外掛（語音降噪），非視覺效果，官方頁未列 After Effects host
activatedisabledexpressions	極小型單一功能腳本（重新啟用被停用的運算式）
active-transitions	摰?Ｗ??? Works in ?? Final Cut Pro嚗???質??飛銋?摰?Final Cut Pro
add-anchor-point	官方頁只有廣告詞，查不到實際功能說明
add-edit-markers	極小型單一功能腳本（在出入點加標記）
add-edit-markers	璆萄??銝??單嚗?箏暺?璅?嚗?
add-parented-null-to-selected-layers	璆萄???穿?AE ?批遣??極?瑕?誨
add-parented-null-to-selected-layers	極小型腳本，AE 內建與既有工具可取代
adobe-advanced-3d-depth-of-field-26-3	Adobe 摰? Advanced 3D 蝞??函??舀楛撅祆改?銝 Effect ?Ｘ銝剔??函???嚗??Depth of Field嚗amera Lens Blur 撌脫??
adobe-median-legacy	Adobe 摰撠迨????Legacy嚗??賢歇?梁銵?Median 瘨菔?嚗???銴?????
adobe-basic-3d-obsolete	Adobe 摰? Obsolete ??嚗?箄?撠??詨捆嚗銵?3D 撌亙撌脫項??
adobe-basic-text-obsolete	Adobe 摰? Obsolete ??嚗?箄?撠??詨捆嚗銵?摮?撅文歇?誨?嗅???
adobe-color-key-obsolete	Adobe 摰? Obsolete ??嚗?箄?撠??詨捆嚗銵?Keylight ??萄極?瑕歇?誨
adobe-gaussian-blur-legacy	Adobe 摰? Obsolete ??嚗蒂?內?曇? Gaussian Blur ?箸隞????
adobe-lightning-obsolete	Adobe 摰? Obsolete ??嚗?箄?撠??詨捆嚗銵?Advanced Lightning 撌脣?隞?
adobe-luma-key-obsolete	Adobe 摰? Obsolete ??嚗?箄?撠??詨捆嚗銵漁摨阡?脩?撌乩?瘚?撌脣?隞?
adobe-path-text-obsolete	Adobe 摰? Obsolete ??嚗?箄?撠??詨捆嚗銵楝敺?摮??怠撌脣?隞?
adobe-reduce-interlace-flicker-obsolete	Adobe 摰? Obsolete ??嚗?箄?撠??詨捆嚗??璆萄???
adobe-spill-suppressor-obsolete	Adobe 摰? Obsolete ??嚗?箄?撠??詨捆嚗銵?Advanced Spill Suppressor 撌脣?隞?
adobe-linear-wipe	撌脩 builtin-ae.jsonl ??Linear/Radial Wipe ?蔥璇瘨菔?嚗?銝??迂???園?
adobe-object-matte-26-2	Adobe 摰? AI ?詨????Ｚ?餈質馱撌亙嚗???Effect ?Ｘ銝剔??批遣??嚗???澈銝?銝?砍??賣???????
adobe-parametric-meshes-26-0	Adobe 摰? 3D Mesh 撱箸芋?嚗??臬憟?撱箸???
adobe-substance-3d-materials-26-0	Adobe 摰? 3D ?釭撌乩?瘚?嚗??舐蝡撱箸???
adobe-quick-apply-26-2	Adobe 摰???銝血銵???閮剛??賭誘?極雿?蝔?銝???祇?
advanced-color-control	官方頁只有廣告詞，查不到實際功能說明
advanced-color-control	摰??誨??嚗銝撖阡??隤芣?
ae-benchmark	官方已停售，且官方說明指出基準測試結果不可靠
ae-benchmark	官方產品頁未提供可核實的實際功能說明，依規範不以名稱猜測收錄
ae-link-lightwave-to-after-effects-export	官方已停售，且主要是 LightWave 匯出橋接工具
ae-link-lightwave-to-after-effects-export	官方標示已停售，且是 LightWave 與 AE 之間的舊版橋接工具
ae-link-lightwave-to-after-effects-export	摰璅內撌脣??殷?銝 LightWave ??AE 銋??????亙極??
ae-shader-effector	摰璅內撌脣??殷??銝血遣霅唳?典隞?Effector 撌亙
ae-pixel-sorter-2	??銝??賢歇?梯??澈銝剔? Pixel Sorter 4 ?誨嚗????園?
ae-shader-effector	官方已停售，已有其他仍維護的 Effector 工具可替代
ae-shader-effector	官方標示已停售，頁面並建議改用其他 Effector 工具
ae-shapes-blender	形狀混合，與已收錄的 Super Morphings 重複
ae-shapes-blender	敶Ｙ?瘛瑕?嚗?撌脫?? Super Morphings ??
ae-sheets	AI 多語言在地化，與已收錄的 LingoFlip 重複
ae-sheets	AI 憭?閮?典???歇?園???LingoFlip ??
ae-spell-checker	?澆?瑼Ｘ?撌脣??怠撌脫?? Textlab Pro
ae-spell-checker	拼字檢查功能已包含在已收錄的 Textlab Pro
ae-suicide-after-effects-crash-recovery	??刻???macOS ??AE ?嗆?敺拙?嚗像?啗??券??潔噸??
aefx-shortcut-icons-and-profiles	Stream Deck嚗ouch Portal ??蝷箄?閮剖?瑼???撅祉???閮剖?瑼? AE 撌亙
ae-suicide-after-effects-crash-recovery	僅支援舊版 macOS 的當機復原輔助程式，適用性有限
ae-suicide-after-effects-crash-recovery	僅適用舊版 macOS 的 AE 當機復原，平台與用途過於侷限
aefocus	?舐蝡??Ｘ??函?撘??梯?瘚桀??Ｘ嚗?銝 AE 憭????
pioneer	MIDI ??/?憐???剁???AE 敶勗?鋆賭??⊿?
aefocus	是獨立桌面應用程式（隱藏浮動面板），不是 AE 外掛或腳本
aefx-shortcut-icons-and-profiles	Stream Deck／Touch Portal 的圖示與設定檔合集，屬素材／設定檔而非 AE 工具
aefx-shortcut-icons-and-profiles	快捷鍵圖示與設定檔素材，不是 AE 外掛或腳本工具
aemap	官方產品頁未提供可核實的實際功能說明，依規範不以名稱猜測收錄
aemap	摰?Ｗ?????舀撖衣?撖阡??隤芣?嚗?閬?銝誑?迂?葫?園?
aempeg	官方產品頁目前標示 No Longer Available，屬已停售工具
aempeg	摰?Ｗ????蝷?No Longer Available嚗惇撌脣??桀極??
bend-layers	摰?Ｗ???蝷?No Longer Available嚗惇撌脣??桀極??
